category	file	xml	work_title	movement_title	creators	rights	source	software	encoding_date	parse_error	reason	raw_url
unknown-rights	12_Variations_of_Twinkle_Twinkle_Little_Star.mxl	score.xml	Twinkle Twinkle Little Star		composer:Mozart			MuseScore 3.5.2	2020-11-28		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/12_Variations_of_Twinkle_Twinkle_Little_Star.mxl
unknown-rights	Arabesque_L._66_No._1_in_E_Major.mxl	score.xml	Arabesque No. 1 in E Major		composer:Claude Achille Debussy(1862–1918)		https://musescore.com/user/19710/scores/55396	MuseScore 3.5.2	2020-11-07		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Arabesque_L._66_No._1_in_E_Major.mxl
unknown-rights	Ave_Maria_D839_-_Schubert_-_Solo_Piano_Arrg..mxl	lg-24737146.xml	Ave Maria		composer:Schubert | lyricist:Simon Ewers		http://musescore.com/user/10783116/scores/4584986	MuseScore 2.1.0	2017-09-21		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Ave_Maria_D839_-_Schubert_-_Solo_Piano_Arrg..mxl
commercial-use-ok	Bach_Minuet_in_G_Major_BWV_Anh._114.mxl	lg-151411412.xml				Public Domain (PianoXML typeset)	http://api.musescore.com/score/2086106	MuseScore 2.0.3	2016-05-01		file-level rights metadata explicitly says Public Domain; repo README/About also says public domain MusicXML files	https://raw.githubusercontent.com/musetrainer/library/master/scores/Bach_Minuet_in_G_Major_BWV_Anh._114.mxl
unknown-rights	Bach_Toccata_and_Fugue_in_D_Minor_Piano_solo.mxl	score.xml						MuseScore 3.6.2	2021-07-28		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Bach_Toccata_and_Fugue_in_D_Minor_Piano_solo.mxl
unknown-rights	Beethoven_Symphony_No._5_1st_movement_Piano_solo.mxl	score.xml						MuseScore 3.6.2	2022-09-27		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Beethoven_Symphony_No._5_1st_movement_Piano_solo.mxl
unknown-rights	Bella_Ciao.mxl	lg-364104.xml	Bella Ciao - Piano				http://musescore.com/user/9429701/scores/4992158	MuseScore 2.1.0	2018-02-26		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Bella_Ciao.mxl
excluded-not-saved	Bella_Ciao_-_La_Casa_de_Papel.mxl	score.xml	Bella Ciao		composer:Traditional	https://guestinpiano.fr	https://musescore.com/user/26930991/scores/6106322	MuseScore 3.6.0	2021-01-18		rights field contains guestinpiano.fr; arrangement/source rights not a commercial reuse license	https://raw.githubusercontent.com/musetrainer/library/master/scores/Bella_Ciao_-_La_Casa_de_Papel.mxl
unknown-rights	Canon_in_D.mxl	lg-52776802.xml	Canon in D		composer:Johann Pachelbel			MuseScore 2.0.1	2015-07-01		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Canon_in_D.mxl
excluded-not-saved	Canon_in_D_3.mxl	lg-98885979.xml	Canon in D		composer:Johann Pachelbel | lyricist:Arr. by Jacob Danao	2016	http://api.musescore.com/score/3161616	MuseScore 2.0.3	2017-01-02		rights field contains 2016 and named arranger; no commercial reuse license	https://raw.githubusercontent.com/musetrainer/library/master/scores/Canon_in_D_3.mxl
unknown-rights	Canon_in_D_easy.mxl	lg-155848509.xml	Canon in D		composer:Pachelbel		http://musescore.com/score/1376056	MuseScore 2.0.2	2015-11-06		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Canon_in_D_easy.mxl
unknown-rights	Carol_of_the_Bells.mxl	score.xml	Carol of the bells		composer:Will_Ross | lyricist:Will_Ross		http://musescore.com/score/3022181	MuseScore 2.3.2	2018-12-27		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Carol_of_the_Bells.mxl
unknown-rights	Carol_of_the_Bells_easy_piano.mxl	lg-214092154.xml					http://musescore.com/score/2782256	MuseScore 2.0.3	2016-10-18		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Carol_of_the_Bells_easy_piano.mxl
unknown-rights	Chopin_-_Ballade_no._1_in_G_minor_Op._23.mxl	score.xml	Ballade I		composer:Chopin		http://api.musescore.com/score/2182146	MuseScore 4.0.0	2023-01-01		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Chopin_-_Ballade_no._1_in_G_minor_Op._23.mxl
unknown-rights	Chopin_-_Nocturne_Op._9_No._1.mxl	lg-438282108142116408.xml					http://musescore.com/score/169484	MuseScore 1.3	2014-03-09		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Chopin_-_Nocturne_Op._9_No._1.mxl
unknown-rights	Chopin_-_Nocturne_Op_9_No_2_E_Flat_Major.mxl	lg-209166603.xml	Nocturne Op.9 No.2		composer:Fredrik Chopin		http://musescore.com/user/6662591/scores/4383881	MuseScore 2.1.0	2017-08-14		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Chopin_-_Nocturne_Op_9_No_2_E_Flat_Major.mxl
excluded-not-saved	Chopin_-_Spring_Waltz.mxl	score.xml	MARRIAGE D'AMOUR		composer:Paul de Senneville	Cristian Ospina		MuseScore 3.1.0	2019-06-20		metadata identifies MARRIAGE D'AMOUR / Paul de Senneville with rights name; modern copyrighted work risk	https://raw.githubusercontent.com/musetrainer/library/master/scores/Chopin_-_Spring_Waltz.mxl
unknown-rights	Clair_de_Lune__Debussy.mxl	score.xml	Clair de Lune		composer:Claude Debussy(1862 – 1918)		https://musescore.com/user/19710/scores/58553	MuseScore 3.6.1	2021-02-08		repo-level README/About says public domain, but file-level rights metadata is empty or non-explicit; commercial redistribution of MusicXML/arrangement data should be rechecked	https://raw.githubusercontent.com/musetrainer/library/master/scores/Clair_de_Lune__Debussy.mxl
